price_realty,want_to_loan,time_debit,fixed_interest,repayment,bank_margin
2180000,1180000,5,5,20937,76220
2180000,1180000,6,5,17661,91592
2180000,1180000,7,5,15322,107048
2180000,1180000,8,5,13569,122624
2180000,1180000,9,5,12207,138356
2180000,1180000,10,5,11118,154160
2180000,1180000,11,5,10229,170228
2180000,1180000,12,5,9488,186272
2180000,1180000,13,5,8862,202472
2180000,1180000,14,5,8326,218768
2180000,1180000,15,5,7863,235340
2180000,1180000,16,5,7457,251744
2180000,1180000,17,5,7101,268604
2180000,1180000,18,5,6784,285344
2180000,1180000,19,5,6501,302228
2180000,1180000,20,5,6247,319280
2180000,1180000,21,5,6018,336536
2180000,1180000,22,5,5810,353840
2180000,1180000,23,5,5620,371120
2180000,1180000,24,5,5447,388736
2180000,1180000,25,5,5288,406400
2180000,1180000,26,5,5141,423992
2180000,1180000,27,5,5006,441944
2180000,1180000,28,5,4881,460016
2180000,1180000,29,5,4764,477872
2180000,1180000,30,5,4656,496160
2180000,1230000,5,5,21824,79440
2180000,1230000,6,5,18409,95448
2180000,1230000,7,5,15971,111564
2180000,1230000,8,5,14144,127824
2180000,1230000,9,5,12724,144192
2180000,1230000,10,5,11590,160800
2180000,1230000,11,5,10662,177384
2180000,1230000,12,5,9890,194160
2180000,1230000,13,5,9238,211128
2180000,1230000,14,5,8679,228072
2180000,1230000,15,5,8196,245280
2180000,1230000,16,5,7773,262416
2180000,1230000,17,5,7401,279804
2180000,1230000,18,5,7071,297336
2180000,1230000,19,5,6777,315156
2180000,1230000,20,5,6512,332880
2180000,1230000,21,5,6273,350796
2180000,1230000,22,5,6056,368784
2180000,1230000,23,5,5858,386808
2180000,1230000,24,5,5678,405264
2180000,1230000,25,5,5512,423600
2180000,1230000,26,5,5359,442008
2180000,1230000,27,5,5218,460632
2180000,1230000,28,5,5088,479568
2180000,1230000,29,5,4966,498168
2180000,1230000,30,5,4854,517440
2180000,1280000,5,5,22711,82660
2180000,1280000,6,5,19157,99304
2180000,1280000,7,5,16620,116080
2180000,1280000,8,5,14719,133024
2180000,1280000,9,5,13242,150136
2180000,1280000,10,5,12061,167320
2180000,1280000,11,5,11096,184672
2180000,1280000,12,5,10292,202048
2180000,1280000,13,5,9613,219628
2180000,1280000,14,5,9032,237376
2180000,1280000,15,5,8529,255220
2180000,1280000,16,5,8089,273088
